subject_id,exp_dur,assessment_val,interest_val,assessment_dur,interest_dur
504426078,0:35:01,4,5,2027,2425
504426078,0:35:01,4,5,1433,4388
504426078,0:35:01,4,5,1693,3522
504426078,0:35:01,4,5,1148,2905
791844334,0:40:01,5,5,2713,3222
791844334,0:40:01,5,5,1961,3618
791844334,0:40:01,5,5,2490,3518
791844334,0:40:01,4,5,1281,2792
791844334,0:40:01,5,5,3105,4163
791844334,0:40:01,5,4,2036,5687
791844334,0:40:01,5,5,5450,4915
791844334,0:40:01,2,5,9194,3458
791844334,0:40:01,3,5,731,9317
791844334,0:40:01,4,4,914,3089
791844334,0:40:01,5,4,1522,3121
791844334,0:40:01,3,4,3331,3551
791844334,0:40:01,2,5,891,3438
791844334,0:40:01,4,5,1339,3270
791844334,0:40:01,1,5,1637,2788
791844334,0:35:02,1,5,1490,2938
791844334,0:35:02,4,5,1632,2712
791844334,0:35:02,5,5,2225,2730
791844334,0:35:02,5,5,1495,4208
791844334,0:35:02,5,5,1513,3127
791844334,0:35:02,5,5,2317,4921
791844334,0:35:02,1,5,758,2507
791844334,0:35:02,2,5,1439,2741
791844334,0:35:02,4,5,1675,7298
791844334,0:35:02,5,5,1899,3495
791844334,0:35:02,5,5,903,3647
791844334,0:35:02,5,5,1059,5379
791844334,0:35:02,3,4,3185,4291
570141421,0:40:01,3,4,4308,4128
570141421,0:40:01,2,2,1550,2867
570141421,0:40:01,4,4,1326,4076
570141421,0:40:01,4,4,1434,6207
570141421,0:40:01,4,5,1731,4124
570141421,0:40:01,2,3,1661,4287
570141421,0:40:01,3,5,956,3649
570141421,0:40:01,3,5,1137,5099
570141421,0:40:01,4,4,1712,3370
570141421,0:40:01,4,2,1276,6417
570141421,0:40:01,4,3,1085,3891
570141421,0:35:01,4,4,1408,21905
570141421,0:35:01,1,5,618,2031
570141421,0:35:01,5,5,897,4333
570141421,0:35:01,5,5,1015,3242
570141421,0:35:01,5,4,1070,7348
570141421,0:35:01,5,5,808,3509
570141421,0:35:01,4,4,1122,14029
8892754140000,0:40:01,4,5,4995,3106
8892754140000,0:40:01,5,5,6728,3218
8892754140000,0:40:01,4,5,5489,2348
8892754140000,0:40:01,3,5,7767,2638
8892754140000,0:40:01,3,5,4095,2316
8892754140000,0:40:01,3,5,2653,4545
8892754140000,0:40:01,1,5,4330,2471
8892754140000,0:40:01,5,5,1481,2717
8892754140000,0:40:01,5,5,1688,2459
8892754140000,0:40:01,4,5,1797,2813
8892754140000,0:40:01,5,5,2230,2739
8892754140000,0:40:01,4,5,4259,3219
8892754140000,0:40:01,4,5,4946,4298
8892754140000,0:40:01,5,5,3420,1790
8892754140000,0:40:01,3,5,5737,2900
8892754140000,0:35:01,4,5,7698,6636
8892754140000,0:35:01,5,5,3576,4507
8892754140000,0:35:01,5,4,2763,3671
8892754140000,0:35:01,4,4,1960,3156
8892754140000,0:35:01,4,4,3313,5035
8892754140000,0:35:01,3,5,3272,4826
8892754140000,0:35:01,3,5,5568,3121
8892754140000,0:35:01,2,5,4509,2992
8892754140000,0:35:01,1,5,836,3690
8892754140000,0:35:01,4,5,1233,3483
8892754140000,0:35:01,4,4,2290,4098
8892754140000,0:35:01,3,5,1549,3519
530645044,0:40:01,4,4,4517,3124
530645044,0:40:01,5,5,2150,2901
530645044,0:40:01,5,5,1358,3241
530645044,0:40:01,5,5,1289,2869
530645044,0:40:01,5,5,972,2871
530645044,0:40:01,5,5,1163,2830
530645044,0:40:01,5,5,1259,3102
530645044,0:40:01,5,5,1237,3350
530645044,0:40:01,3,2,3141,5380
530645044,0:40:01,4,5,2012,4749
530645044,0:40:01,4,4,4559,5481
530645044,0:40:01,4,5,1873,2817
530645044,0:40:01,3,5,3129,3529
530645044,0:40:01,3,5,1602,3564
530645044,0:40:01,3,5,2793,5190
530645044,0:35:01,3,5,1190,2685
530645044,0:35:01,3,5,841,3033
530645044,0:35:01,3,5,1132,2559
530645044,0:35:01,3,5,2141,2442
530645044,0:35:01,5,5,1091,3199
530645044,0:35:01,5,5,891,1565
530645044,0:35:01,4,4,2363,4045
530645044,0:35:01,5,5,1437,3174
530645044,0:35:01,5,5,1872,3436
530645044,0:35:01,4,5,1126,6001
530645044,0:35:01,5,5,924,2711
530645044,0:35:01,5,5,1034,3958
530645044,0:35:01,4,5,1833,3063
600637880,0:40:01,3,4,7012,3942
600637880,0:40:01,2,4,6875,2436
600637880,0:40:01,2,5,4662,2004
600637880,0:40:01,3,4,6900,2408
600637880,0:40:01,2,4,4254,3186
600637880,0:40:01,2,5,4142,3519
600637880,0:40:01,1,4,2877,7288
600637880,0:40:01,2,5,5450,4078
600637880,0:40:01,2,5,3939,2545
600637880,0:40:01,2,5,3889,3631
600637880,0:40:01,3,5,2618,3551
600637880,0:40:01,3,3,2656,2760
600637880,0:40:01,3,2,3153,2785
600637880,0:40:01,3,3,5573,3921
600637880,0:40:01,3,3,2678,4248
600637880,0:48:18,3,4,6926,6049
600637880,0:48:18,2,3,2852,4829
600637880,0:48:18,4,4,5541,3221
600637880,0:48:18,3,4,3287,2746
600637880,0:48:18,4,4,4398,2848
600637880,0:48:18,3,2,7713,3643
600637880,0:48:18,3,2,2508,5331
600637880,0:48:18,2,5,2048,2972
600637880,0:48:18,2,5,1745,2918
600637880,0:48:18,1,5,963,2980
600637880,0:48:18,1,4,4728,5874
600637880,0:48:18,2,5,4554,2844
600637880,0:48:18,1,4,1515,3491
600637880,0:48:18,1,4,1742,3151
600637880,0:48:18,1,4,3222,2941
692219490,0:40:01,2,5,6686,5503
692219490,0:40:01,2,5,3023,3205
692219490,0:40:01,1,5,1259,2574
692219490,0:40:01,1,5,879,3409
692219490,0:40:01,1,5,1072,2522
692219490,0:40:01,1,5,1209,2123
692219490,0:40:01,1,5,4536,2680
692219490,0:40:01,2,5,1045,2610
692219490,0:40:01,2,5,1327,2475
692219490,0:40:01,2,5,2110,13491
692219490,0:40:01,2,5,1676,7495
692219490,0:40:01,2,5,1062,2668
692219490,0:40:01,2,5,779,2658
692219490,0:40:01,2,5,2033,2495
698189511,0:40:01,5,4,3314,4568
698189511,0:40:01,5,4,4786,10380
698189511,0:40:01,5,5,1259,4315
698189511,0:40:01,5,5,3923,2448
698189511,0:40:01,5,5,2401,3517
698189511,0:40:01,5,5,1199,3368
698189511,0:40:01,3,5,3572,2958
698189511,0:40:01,4,5,1410,2991
698189511,0:40:01,4,5,1434,2904
698189511,0:40:01,4,5,3250,1735
698189511,0:40:01,5,5,1737,6393
698189511,0:40:01,5,5,1090,3654
698189511,0:40:01,1,5,1959,3752
698189511,0:40:01,4,5,3408,3323
698189511,0:35:01,2,5,1045,3594
698189511,0:35:01,4,5,3790,2947
698189511,0:35:01,5,5,733,3341
698189511,0:35:01,5,5,2025,3300
698189511,0:35:01,4,5,2200,3753
698189511,0:35:01,1,5,1843,3791
698189511,0:35:01,1,3,1673,3674
698189511,0:35:01,2,3,2230,5001
698189511,0:35:01,2,4,4568,2930
698189511,0:35:01,2,4,2097,3079
698189511,0:35:01,5,3,2894,4884
698189511,0:35:01,5,5,2592,3742
698189511,0:35:01,5,5,1529,3710
530844300,0:40:01,4,5,3274,3415
530844300,0:40:01,4,5,4832,3797
530844300,0:40:01,4,5,1281,6137
530844300,0:40:01,4,5,2881,3010
530844300,0:40:01,4,5,3769,3074
530844300,0:40:01,4,5,1220,2114
530844300,0:40:01,5,5,914,2883
530844300,0:40:01,5,5,1650,3536
530844300,0:40:01,4,5,2202,3762
530844300,0:40:01,3,5,1385,3142
530844300,0:40:01,4,5,1563,2685
530844300,0:40:01,3,5,2293,3187
530844300,0:40:01,5,5,1934,3442
530844300,0:40:01,5,5,1900,3319
530844300,0:40:01,4,5,674,2714
530844300,0:35:01,4,5,1225,3077
530844300,0:35:01,5,5,862,3222
530844300,0:35:01,4,5,1011,4666
530844300,0:35:01,4,5,907,3854
530844300,0:35:01,5,5,1146,3075
530844300,0:35:01,5,5,1257,2780
530844300,0:35:01,4,5,1008,3437
530844300,0:35:01,2,5,1631,2879
530844300,0:35:01,3,5,3231,1990
530844300,0:35:01,4,5,2085,2489
530844300,0:35:01,3,5,743,3012
530844300,0:35:01,4,5,1469,3016
530844300,0:35:01,5,5,903,4500
791099252,0:40:01,3,4,5058,5814
791099252,0:40:01,2,4,2626,3833
791099252,0:40:01,3,4,3491,3276
791099252,0:40:01,3,4,3796,3190
791099252,0:40:01,3,4,2352,3187
791099252,0:40:01,2,4,1730,3353
791099252,0:40:01,3,4,1612,2744
791099252,0:40:01,2,4,2033,3631
791099252,0:40:01,2,4,1809,2869
791099252,0:40:01,3,5,2076,3352
791099252,0:40:01,2,5,1161,3228
791099252,0:40:01,2,5,1140,3240
791099252,0:40:01,3,5,2058,2918
791099252,0:40:01,3,5,1927,4863
791099252,0:40:01,3,5,1293,2669
791099252,0:35:01,3,5,3540,3369
791099252,0:35:01,3,5,1268,2757
791099252,0:35:01,4,5,1083,2461
791099252,0:35:01,4,5,1212,3018
791099252,0:35:01,4,5,1371,2800
791099252,0:35:01,3,5,696,2911
791099252,0:35:01,4,5,1527,2799
791099252,0:35:01,4,5,2457,2458
791099252,0:35:01,3,5,1263,2525
791099252,0:35:01,3,5,1215,2730
791099252,0:35:01,3,5,1294,2575
791099252,0:35:01,2,4,1041,2789
791099252,0:35:01,2,5,1449,3418
